-16,19,1
4,15,1
-1,-5,0
-17,-10,1
18,-18,0
3,12,1
-1,0,1
-2,-15,0
10,-5,0
-20,10,1
-17,-2,1
15,17,1
-11,-4,1
-11,-18,0
-9,-11,0
-15,11,1
-12,1,1
-11,-16,0
2,17,1
-12,-8,1
-7,-10,0
-8,7,1
-18,-8,1
12,16,1
-2,9,1
-20,13,1
-17,19,1
-15,-20,0
20,-11,0
12,-20,0
-9,4,1
-15,10,1
13,18,1
-5,3,1
-7,-12,0
-16,-18,0
-4,20,1
13,10,0
6,-17,0
0,-17,0
6,-12,0
2,17,1
19,12,0
-2,19,1
-7,3,1
-16,8,1
-11,-20,0
1,19,1
12,0,0
-7,13,1
-11,17,1
2,-19,0
18,-16,0
20,-18,0
-2,-15,0
-14,-3,1
16,7,0
-1,-12,0
-7,-9,0
7,-14,0
-13,10,1
-2,9,1
8,17,1
19,18,0
-16,-8,1
-10,-5,1
-18,0,1
-16,18,1
-1,13,1
1,-2,0
16,-14,0
6,-11,0
-15,-15,1
-19,-12,1
-9,-13,0
-4,13,1
14,11,0
-2,3,1
20,10,0
2,14,1
9,-10,0
-18,-18,1
-8,0,1
20,-16,0
9,-10,0
-5,-6,0
-8,-3,1
8,16,1
0,-12,0
-19,7,1
2,18,1
-15,9,1
1,-11,0
-6,6,1
-15,-16,0
-15,1,1
-19,1,1
-1,-4,0
8,-6,0
-7,-5,1
